iter	MultiClass
0	1.251559461
1	1.164910002
2	1.109790275
3	1.043774765
4	0.9993958727
5	0.9567466731
6	0.9296804413
7	0.9110651172
8	0.8923787808
9	0.8837965418
10	0.8665195624
11	0.8450161466
12	0.8274687747
13	0.8038217047
14	0.790960464
15	0.7807963683
16	0.7664812609
17	0.7553895537
18	0.7405472902
19	0.7312567823
20	0.7214015598
21	0.7048292515
22	0.6947334132
23	0.688226868
24	0.6817316126
25	0.6698515088
26	0.663260303
27	0.6544932842
28	0.6297132521
29	0.6180011576
30	0.6008268315
31	0.5915710471
32	0.5749635354
33	0.5682165683
34	0.5549737666
35	0.5448941876
36	0.5378622497
37	0.5300898378
38	0.5208439403
39	0.5118050588
40	0.4994940467
41	0.4878376649
42	0.4745865946
43	0.4660499155
44	0.4600105348
45	0.4513839663
46	0.4428250352
47	0.4353117085
48	0.4296075389
49	0.4265641774
50	0.4217938339
51	0.4175112543
52	0.4110871728
53	0.4049556839
54	0.3996857379
55	0.3912543979
56	0.3869788692
57	0.3829071956
58	0.3802582033
59	0.3775134993
60	0.3755986756
61	0.371574874
62	0.3680705442
63	0.364173589
64	0.3602715621
65	0.3545682081
66	0.3464010041
67	0.3398060625
68	0.3370316333
69	0.33401707
70	0.3275247836
71	0.323708456
72	0.322206521
73	0.319466743
74	0.3150612149
75	0.3125567432
76	0.3101812401
77	0.3074773675
78	0.3029791502
79	0.2989188171
80	0.2968568545
81	0.2943774866
82	0.2875154563
83	0.2837805743
84	0.2816849812
85	0.2785135562
86	0.2769250613
87	0.2750689001
88	0.2733448328
89	0.2711407697
90	0.2696208961
91	0.266009144
92	0.263245639
93	0.2615516568
94	0.2594192638
95	0.256889655
96	0.2548026591
97	0.2533748603
98	0.2517796683
99	0.2479858118
100	0.2435179386
101	0.2411572167
102	0.2397089596
103	0.2371099594
104	0.236461761
105	0.2324144915
106	0.2287596441
107	0.2264363875
108	0.2246275786
109	0.2210533377
110	0.218816363
111	0.216043273
112	0.2148908991
113	0.2121138386
114	0.2110566046
115	0.2092899809
116	0.2081684291
117	0.206474338
118	0.2038747607
119	0.2026928217
120	0.200467451
121	0.1978826287
122	0.1968743976
123	0.1960411213
124	0.1939890606
125	0.1921585343
126	0.1898432498
127	0.1883145429
128	0.1859923883
129	0.1849635659
130	0.1831009338
131	0.1819246531
132	0.1800615804
133	0.1793970402
134	0.1781951712
135	0.1772214833
136	0.1765405719
137	0.1755929222
138	0.1745999417
139	0.1734984762
140	0.1721121052
141	0.1710375506
142	0.1703972499
143	0.1693762267
144	0.1680844274
145	0.1664978418
146	0.1660380263
147	0.1647417642
148	0.1638127242
149	0.1617484055
150	0.1610656459
151	0.1602068686
152	0.1592019807
153	0.1581572219
154	0.1576953809
155	0.1561612885
156	0.15411334
157	0.1526248292
158	0.1515742521
159	0.1502862879
160	0.1496604608
161	0.1488939839
162	0.1481537744
163	0.1474007164
164	0.1467950422
165	0.1461102387
166	0.1450304403
167	0.144623448
168	0.1436204053
169	0.1431858124
170	0.1418856215
171	0.1407986305
172	0.1401647937
173	0.1394458749
174	0.1379308391
175	0.1371797638
176	0.1365117123
177	0.135036453
178	0.133744773
179	0.132819918
180	0.1319302033
181	0.13115488
182	0.1301527634
183	0.1292256278
184	0.128821794
185	0.1285711473
186	0.1268360058
187	0.1260689516
188	0.124990527
189	0.1243550181
190	0.1236490479
191	0.123197348
192	0.1219084428
193	0.1214508321
194	0.1212616129
195	0.1197115176
196	0.1189870445
197	0.1186507446
198	0.1182994775
199	0.1174738288
200	0.116219305
201	0.1158097621
202	0.1152218731
203	0.1143436783
204	0.1135983548
205	0.112827932
206	0.1124659911
207	0.1120911101
208	0.1107731163
209	0.1099319807
210	0.1091018621
211	0.1078541656
212	0.106835522
213	0.1062097404
214	0.1056845907
215	0.1051315039
216	0.1044310909
217	0.1037596394
218	0.1032079693
219	0.1026291943
220	0.1020945752
221	0.1017220378
222	0.1012196266
223	0.1008418255
224	0.1006254337
225	0.1003351944
226	0.09972899327
227	0.09870808635
228	0.09802647485
229	0.09792815511
230	0.0975174617
231	0.09665753429
232	0.09555202746
233	0.09518103943
234	0.09469489866
235	0.09428492125
236	0.09403157112
237	0.09383608733
238	0.09318105608
239	0.09266089711
240	0.09241330364
241	0.09214526081
242	0.09172718807
243	0.09125762753
244	0.09073639823
245	0.09049638906
246	0.08988927923
247	0.08909652155
248	0.08750894718
249	0.08719038969
250	0.08699853905
251	0.08661714435
252	0.08623419669
253	0.08596978629
254	0.08556367215
255	0.08501208265
256	0.08483256133
257	0.08447300344
258	0.08421669752
259	0.08376852972
260	0.08324188771
261	0.08266421766
262	0.08244914432
263	0.08178931536
264	0.08146427441
265	0.08124553077
266	0.08100771578
267	0.08062100095
268	0.0802485102
269	0.07983078507
270	0.07958728647
271	0.07902332595
272	0.07880888321
273	0.07850078309
274	0.07816716268
275	0.07776168615
276	0.07740495989
277	0.07726383627
278	0.07684359278
279	0.07671624349
280	0.0764586371
281	0.07629552517
282	0.07605999913
283	0.07563329839
284	0.07557162688
285	0.07540940443
286	0.07516384561
287	0.07489391281
288	0.07461180668
289	0.07443610495
290	0.07401111465
291	0.07369846348
292	0.07328225523
293	0.07308723904
294	0.07298177704
295	0.07277955428
296	0.07254052131
297	0.07231984664
298	0.07188498158
299	0.07169896405
